# BEGIN DATA
Process=pp -> e~vj + ev~j
Proc=evj
Sqrt=13 TeV
Unit=pb/GeV
Timestamp=2017-10-16 14:02:36
# END DATA

# BEGIN HISTO1D evj_pTV_LO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 8.242334e+01 2.176432e-03 2.176432e-03
4.000000e+01 5.000000e+01 4.730595e+01 1.259967e-03 1.259967e-03
5.000000e+01 6.000000e+01 2.886154e+01 8.669182e-04 8.669182e-04
6.000000e+01 7.000000e+01 1.833666e+01 6.273973e-04 6.273973e-04
7.000000e+01 8.000000e+01 1.201546e+01 4.666943e-04 4.666943e-04
8.000000e+01 9.000000e+01 8.075859e+00 2.639048e-04 2.639048e-04
9.000000e+01 1.000000e+02 5.550705e+00 1.719264e-04 1.719264e-04
1.000000e+02 1.100000e+02 3.891946e+00 1.297933e-04 1.297933e-04
1.100000e+02 1.200000e+02 2.778560e+00 1.005317e-04 1.005317e-04
1.200000e+02 1.300000e+02 2.016898e+00 7.928274e-05 7.928274e-05
1.300000e+02 1.400000e+02 1.486259e+00 6.336794e-05 6.336794e-05
1.400000e+02 1.500000e+02 1.110616e+00 5.126627e-05 5.126627e-05
1.500000e+02 2.000000e+02 5.360499e-01 1.337237e-05 1.337237e-05
2.000000e+02 2.500000e+02 1.671862e-01 5.890799e-06 5.890799e-06
2.500000e+02 3.000000e+02 6.272315e-02 2.959511e-06 2.959511e-06
3.000000e+02 3.500000e+02 2.683982e-02 4.349439e-07 4.349439e-07
3.500000e+02 4.000000e+02 1.266280e-02 2.331639e-07 2.331639e-07
4.000000e+02 4.500000e+02 6.439647e-03 1.409993e-07 1.409993e-07
4.500000e+02 5.000000e+02 3.475474e-03 9.012313e-08 9.012313e-08
5.000000e+02 5.500000e+02 1.967849e-03 5.989991e-08 5.989991e-08
5.500000e+02 6.000000e+02 1.159255e-03 4.110733e-08 4.110733e-08
6.000000e+02 6.500000e+02 7.058701e-04 1.837147e-08 1.837147e-08
